Name,Monthly Cost,Payment Date,Cumulative Monthly Cost
Carl,20,2018-12-13,20
Carl,20,2019-01-13,40
Carl,20,2019-02-13,60
Carl,20,2019-03-13,80
Carl,20,2019-04-13,100
Carl,20,2019-05-13,120
Carl,20,2019-06-13,140
Carl,20,2019-07-13,160
Carl,20,2019-08-13,180
Carl,20,2019-09-13,200
Carl,20,2019-10-13,220
Carl,20,2019-11-13,240
Carl,20,2019-12-13,260
Carl,20,2020-01-13,280
Carl,20,2020-02-13,300
Carl,20,2020-03-13,320
Carl,20,2020-04-13,340
Carl,20,2020-05-13,360
Carl,20,2020-06-13,380
Carl,20,2020-07-13,400
Carl,20,2020-08-13,420
Carl,20,2020-09-13,440
Carl,20,2020-10-13,460
Carl,20,2020-11-13,480
Jonathan,15,2019-02-22,15
Jonathan,15,2019-03-22,30
Jonathan,15,2019-04-22,45
Jonathan,15,2019-05-22,60
Jonathan,15,2019-06-22,75
Jonathan,15,2019-07-22,90
Andy,45,2018-10-17,45
Andy,45,2018-11-17,90
Andy,45,2018-12-17,135
Andy,45,2019-01-17,180
Andy,45,2019-02-17,225
Andy,45,2019-03-17,270
Andy,45,2019-04-17,315
Andy,45,2019-05-17,360
Andy,45,2019-06-17,405
Andy,45,2019-07-17,450
Andy,45,2019-08-17,495
Andy,45,2019-09-17,540
Sophie,30,2018-11-19,30
Sophie,30,2018-12-19,60
Sophie,30,2019-01-19,90
Sophie,30,2019-02-19,120
Sophie,30,2019-03-19,150
Sophie,30,2019-04-19,180
Sophie,30,2019-05-19,210
Sophie,30,2019-06-19,240
Sophie,30,2019-07-19,270
Sophie,30,2019-08-19,300
Sophie,30,2019-09-19,330
Sophie,30,2019-10-19,360
