Name,Reporting Year,employment_range,tenure,Salary_paid,yearly_bonus,Total Earned
Carl,2020,Apr 2020 to Mar 2022,9.0,11999.97,464.75,12464.72
Carl,2021,Apr 2020 to Mar 2022,21.0,18000.0,1363.25,19363.25
Carl,2022,Apr 2020 to Mar 2022,24.0,4749.99,339.75,5089.74
Jenny,2020,Jul 2020 to Nov 2021,6.0,9000.0,545.65,9545.65
Jenny,2021,Jul 2020 to Nov 2021,17.0,16958.370000000003,1159.5,18117.870000000003
Tom,2020,Nov 2020 to May 2022,2.0,2416.66,277.55,2694.21
Tom,2021,Nov 2020 to May 2022,14.0,15999.96,1119.4,17119.36
Tom,2022,Nov 2020 to May 2022,19.0,7291.65,394.25,7685.9
Toni,2019,Oct 2019 to Sep 2020,3.0,5250.0,134.25,5384.25
Toni,2020,Oct 2019 to Sep 2020,12.0,15750.0,526.2,16276.2
