Date,Salesperson,YTD,Bike Type,Sales
2021-10-01,Carl,32768.0,Road,60.0
2021-10-02,Carl,32768.0,Road,48.0
2021-10-03,Carl,32768.0,Road,87.0
2021-10-04,Carl,32768.0,Road,4.0
2021-10-05,Carl,32768.0,Road,57.0
2021-10-06,Carl,32768.0,Road,31.0
2021-10-07,Carl,32768.0,Road,63.0
2021-10-08,Carl,32768.0,Road,49.0
2021-10-09,Carl,32768.0,Road,84.0
2021-10-10,Carl,32768.0,Road,85.0
2021-10-11,Carl,32768.0,Road,25.0
2021-10-12,Carl,32768.0,Road,54.0
2021-10-13,Carl,32768.0,Road,41.0
2021-10-14,Carl,32768.0,Road,56.0
2021-10-15,Carl,32768.0,Road,76.0
2021-10-16,Carl,32768.0,Road,100.0
2021-10-17,Carl,32768.0,Road,12.0
2021-10-18,Carl,32768.0,Road,3.0
2021-10-19,Carl,32768.0,Road,38.0
2021-10-20,Carl,32768.0,Road,58.0
2021-10-21,Carl,32768.0,Road,38.0
2021-10-22,Carl,32768.0,Road,6.0
2021-10-23,Carl,32768.0,Road,14.0
2021-10-24,Carl,32768.0,Road,51.0
2021-10-25,Carl,32768.0,Road,26.0
2021-10-26,Carl,32768.0,Road,26.0
2021-10-27,Carl,32768.0,Road,57.0
2021-10-28,Carl,32768.0,Road,27.0
2021-10-29,Carl,32768.0,Road,76.0
2021-10-30,Carl,32768.0,Road,7.0
2021-10-31,Carl,32768.0,Road,81.0
2021-10-01,Ollie,45627.0,Road,18.0
2021-10-02,Ollie,45627.0,Road,74.0
2021-10-03,Ollie,45627.0,Road,87.0
2021-10-04,Ollie,45627.0,Road,91.0
2021-10-05,Ollie,45627.0,Road,50.0
2021-10-06,Ollie,45627.0,Road,62.0
2021-10-07,Ollie,45627.0,Road,5.0
2021-10-08,Ollie,45627.0,Road,88.0
2021-10-09,Ollie,45627.0,Road,63.0
2021-10-10,Ollie,45627.0,Road,73.0
2021-10-11,Ollie,45627.0,Road,95.0
2021-10-12,Ollie,45627.0,Road,5.0
2021-10-13,Ollie,45627.0,Road,35.0
2021-10-14,Ollie,45627.0,Road,81.0
2021-10-15,Ollie,45627.0,Road,34.0
2021-10-16,Ollie,45627.0,Road,86.0
2021-10-17,Ollie,45627.0,Road,48.0
2021-10-18,Ollie,45627.0,Road,24.0
2021-10-19,Ollie,45627.0,Road,54.0
2021-10-20,Ollie,45627.0,Road,58.0
2021-10-21,Ollie,45627.0,Road,6.0
2021-10-22,Ollie,45627.0,Road,71.0
2021-10-23,Ollie,45627.0,Road,42.0
2021-10-24,Ollie,45627.0,Road,95.0
2021-10-25,Ollie,45627.0,Road,84.0
2021-10-26,Ollie,45627.0,Road,84.0
2021-10-27,Ollie,45627.0,Road,26.0
2021-10-28,Ollie,45627.0,Road,71.0
2021-10-29,Ollie,45627.0,Road,36.0
2021-10-30,Ollie,45627.0,Road,30.0
2021-10-31,Ollie,45627.0,Road,1.0
2021-10-01,Lorna,64704.0,Road,90.0
2021-10-02,Lorna,64704.0,Road,37.0
2021-10-03,Lorna,64704.0,Road,96.0
2021-10-04,Lorna,64704.0,Road,84.0
2021-10-05,Lorna,64704.0,Road,81.0
2021-10-06,Lorna,64704.0,Road,66.0
2021-10-07,Lorna,64704.0,Road,88.0
2021-10-08,Lorna,64704.0,Road,60.0
2021-10-09,Lorna,64704.0,Road,93.0
2021-10-10,Lorna,64704.0,Road,69.0
2021-10-11,Lorna,64704.0,Road,55.0
2021-10-12,Lorna,64704.0,Road,0.0
2021-10-13,Lorna,64704.0,Road,21.0
2021-10-14,Lorna,64704.0,Road,100.0
2021-10-15,Lorna,64704.0,Road,81.0
2021-10-16,Lorna,64704.0,Road,61.0
2021-10-17,Lorna,64704.0,Road,29.0
2021-10-18,Lorna,64704.0,Road,85.0
2021-10-19,Lorna,64704.0,Road,1.0
2021-10-20,Lorna,64704.0,Road,93.0
2021-10-21,Lorna,64704.0,Road,54.0
