Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,First Purchase,Order?,Prev_Value,Customer Classification,YoY Difference
1.0,CA-2020-152156,2020-08-11,2020-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2.0,0.0,41.9136,2020,2019,1,,New,48.0
2.0,CA-2020-152156,2020-08-11,2020-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3.0,0.0,219.582,2020,2019,1,1.0,Consistent,48.0
3.0,CA-2020-138688,2020-12-06,2020-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036.0,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2.0,0.0,6.8714,2020,2020,1,,New,48.0
14.0,CA-2020-161389,2020-05-12,2020-10-12,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103.0,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3.0,0.2,132.5922,2020,2018,1,,New,48.0
22.0,CA-2020-137330,2020-09-12,2020-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7.0,0.0,5.0596,2020,2018,1,,New,48.0
23.0,CA-2020-137330,2020-09-12,2020-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025.0,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7.0,0.0,15.6884,2020,2018,1,1.0,Consistent,48.0
26.0,CA-2020-121755,2020-01-16,2020-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2.0,0.2,4.2224,2020,2018,1,,New,48.0
27.0,CA-2020-121755,2020-01-16,2020-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049.0,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3.0,0.0,11.7741,2020,2018,1,1.0,Consistent,48.0
36.0,CA-2020-117590,2020-08-12,2020-10-12,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7.0,0.2,123.4737,2020,2019,1,,New,48.0
37.0,CA-2020-117590,2020-08-12,2020-10-12,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5.0,0.6,-147.963,2020,2019,1,1.0,Consistent,48.0
