id,Agent Name,Leader 1,Leader Name,Month Start Date,Location,Calls Answered,Calls Not Answered,Not Answered Rate,Met Not Answered Rate,Not Answered Percent,Calls Offered,Total Duration,Agent Avg Duration,Sentiment Score >=0,Not Answered Percent,Sentiment Score >=0,Met Sentiment Goal
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-01-01,Margaree,443.0,2.0,0.004,True,5.0,445.0,7565.0,17,0.0,5.0,0.0,False
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-02-01,Margaree,590.0,16.0,0.026,True,5.0,606.0,4848.0,8,0.0,5.0,0.0,True
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-03-01,Margaree,338.0,75.0,0.182,False,5.0,413.0,2478.0,7,0.0,5.0,0.0,True
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-04-01,Margaree,748.0,12.0,0.016,True,5.0,760.0,6080.0,8,0.0,5.0,0.0,True
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-05-01,Margaree,464.0,22.0,0.045,True,5.0,486.0,1458.0,3,0.0,5.0,0.0,False
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-06-01,Margaree,590.0,2.0,0.003,True,5.0,592.0,2368.0,4,0.0,5.0,0.0,True
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-07-01,Margaree,425.0,29.0,0.064,False,5.0,454.0,4540.0,11,0.0,5.0,0.0,True
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-08-01,Margaree,696.0,24.0,0.033,True,5.0,720.0,7920.0,11,0.0,5.0,0.0,False
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-09-01,Margaree,407.0,52.0,0.113,False,5.0,459.0,8262.0,20,0.0,5.0,0.0,False
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-10-01,Margaree,826.0,43.0,0.049,True,5.0,869.0,17380.0,21,0.0,5.0,0.0,True
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-11-01,Margaree,421.0,75.0,0.151,False,5.0,496.0,10416.0,25,0.0,5.0,0.0,True
4,"Fleur, Garnam",1,"Kylie, Howroyd",2021-12-01,Margaree,796.0,53.0,0.062,False,5.0,849.0,15282.0,19,0.0,5.0,0.0,True
